Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2063-09-16,252.30428,112.72849,81.59905,0.09728926,28.568445,25.838755,31.298136,1.0145141895141785,28.20200817700817,2063,9,30.0,8295.65764,5511.8086299999995,2759.4787300000003,5.4593810000000005
2063-10-16,311.57257,109.35653,82.69073,-0.032830525,27.858976,25.292395,30.425554,0.6022077922077894,30.21535714285714,2063,10,31.0,8332.249950000001,5524.88233,2722.82666,5.133159000000003
2063-11-16,335.17508,112.26996,83.27517,0.10958157,27.998703,25.481363,30.516043,0.551322751322743,29.879365079365066,2063,11,29.99305555555556,8302.634900000001,5552.50223,2759.57001,5.034679999999998
2063-12-16,350.71854,112.91299,83.86767,0.09754145,27.528788,25.274422,29.783163,0.4746031746031713,30.02349206349206,2063,12,31.0,8309.54802,5589.925569999999,2761.7068499999996,4.508740999999997
2064-01-16,335.07895,140.61536,84.02457,0.6310434,27.321482,25.08494,29.55802,1.1005555555555555,26.34809523809524,2064,1,31.0,8413.443210000001,5610.66724,2901.61008,4.4730799999999995
2064-02-16,97.94095,48.71944,80.03901,0.5041396,27.64589,25.050179,30.241602,7.936164021164016,22.497777777777777,2064,2,29.0,8346.076219999999,5561.76139,2882.61674,5.191423
2064-03-16,249.11133,135.39508,82.14121,0.902677,28.010107,25.484812,30.5354,2.799499759499757,22.96761904761904,2064,3,31.0,8368.50965,5664.50626,3014.2329799999998,5.050587999999998
2064-04-16,177.4999,96.560425,81.7092,0.80388945,28.677526,25.951513,31.403534,3.0483585858585767,22.950479797979792,2064,4,30.0,8386.11702,5648.627299999999,2987.80592,5.452021000000002
2064-05-16,226.95052,104.09446,82.9253,0.86194676,28.851578,26.256721,31.446436,0.932930495430486,27.616867484367475,2064,5,31.0,8415.513420000001,5633.31511,2997.71864,5.189715
2064-06-16,206.97356,116.364586,81.82953,0.98285985,28.886396,26.228636,31.544159,1.270067340067338,24.303003848003844,2064,6,30.0,8421.09148,5647.7029600000005,3032.3772999999997,5.315522999999999
