Date,pr,Year,Month,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2063-08-16,235.229,2063,8,114.78742,80.7936,0.38955173,29.417135,26.584005,32.250267,3.8685040885040856,25.06876863876863,31.0,8394.77404,5661.72723,2845.1856000000002,5.666262
2063-09-16,206.79088,2063,9,91.701324,80.05185,0.07551503,29.564775,26.688873,32.440678,4.214288119288113,25.87363756613756,30.0,8347.3731,5606.4576099999995,2741.85545,5.751804999999997
2063-10-16,297.8602,2063,10,102.553345,82.04014,-0.096198104,29.275465,26.59648,31.954453,0.942025012025,28.6697619047619,31.0,8343.44753,5646.99139,2692.30355,5.357973000000001
2063-11-16,406.0939,2063,11,134.82243,83.40821,0.2952019,29.23667,26.657705,31.815634,0.1028330928330902,29.935714285714283,29.99305555555556,8412.07137,5682.875239999999,2815.62735,5.157928999999999
2063-12-16,295.59494,2063,12,94.899574,82.30294,0.11466965,29.12381,26.730988,31.51663,1.0927994227994098,30.54017676767676,31.0,8355.87148,5651.91238,2764.59445,4.785641999999999
2064-01-16,224.02373,2064,1,86.83096,81.608925,-0.096395046,29.170975,26.743109,31.59884,4.166818181818171,16.69080808080808,31.0,8344.35143,5692.454409999999,2700.52628,4.855730999999999
2064-02-16,161.597,2064,2,84.8171,80.673,-0.099868715,29.251963,26.759972,31.743958,3.277938912938912,20.36940957190956,29.0,8376.55262,5728.42283,2697.23168,4.983985999999998
2064-03-16,136.11871,2064,3,62.31459,78.78775,-0.298659,29.822355,27.041723,32.602985,5.266331168831157,17.492607022607014,31.0,8321.70592,5754.63856,2621.9707500000004,5.561261999999996
2064-04-16,130.41946,2064,4,66.064804,78.6387,-0.252817,30.19515,27.293016,33.097282,3.766620971620961,19.309635642135635,30.0,8225.36574,5699.22153,2619.45248,5.804265999999998
2064-05-16,263.54477,2064,5,115.80175,82.15203,-0.030851185,30.200922,27.585,32.816845,1.2889598364598265,26.38660293410293,31.0,8296.49564,5756.898429999999,2693.32817,5.231845
2064-06-16,211.82524,2064,6,121.89756,81.03544,0.09544551,30.10752,27.383188,32.831852,1.5817400192400115,26.250133477633472,30.0,8302.91623,5701.46707,2731.15261,5.448663999999997
2064-07-16,264.97195,2064,7,147.29163,81.13734,0.36655378,29.676935,26.960432,32.393444,2.754526214526204,24.8183682058682,30.99305555555556,8470.557859999999,5694.27636,2834.0697800000003,5.4330120000000015
