Year,Month,pr,tas,hurs,tasmax,tasmin
1964,3,112.653564,25.990803,81.365746,27.88491,24.096693
1964,4,144.07054,26.558716,80.95524,28.537748,24.579681
1964,5,175.77225,27.027134,81.85099,29.018616,25.03565
1964,6,171.44466,26.811665,81.59064,28.809635,24.81369
1964,7,178.8624,26.501806,81.65584,28.471203,24.532408
1964,8,188.42015,26.359278,81.66464,28.323526,24.395031
1964,9,175.66138,26.395481,81.57252,28.353893,24.43707
1964,10,303.1653,25.903307,83.55296,27.803963,24.002651
1964,11,241.6181,25.935368,83.15047,27.76702,24.103714
1964,12,307.9834,25.671022,83.969986,27.326649,24.015398
1965,1,210.53548,25.300167,82.851875,26.920984,23.679348
1965,2,201.24635,25.021658,83.76659,26.628021,23.415289
1965,3,187.11133,25.467258,83.31818,27.299618,23.634901
1965,4,158.44354,26.114449,82.298744,28.020739,24.208157
1965,5,170.28786,26.581402,82.17335,28.579502,24.5833
1965,6,187.74641,26.529716,82.659195,28.477158,24.58228
1965,7,161.17738,26.293888,81.690155,28.283995,24.303783
1965,8,186.60915,26.047695,82.05941,28.0039,24.09149
1965,9,208.12724,25.803453,82.654335,27.707666,23.899242
1965,10,229.49643,25.781006,82.82439,27.700216,23.861795
1965,11,314.83768,25.439762,84.30155,27.243732,23.635788
1965,12,214.1886,25.408966,83.681625,27.11013,23.7078
1966,1,177.91763,25.29987,82.88318,26.90719,23.69255
1966,2,190.24503,25.133724,84.15725,26.754402,23.513042
1966,3,153.87576,25.630182,83.05174,27.405964,23.8544
1966,4,188.8322,26.2309,82.62518,28.145903,24.315895
1966,5,173.75041,26.611795,82.07503,28.586649,24.636944
1966,6,150.02313,26.772875,80.97373,28.790327,24.755424
1966,7,230.50409,26.149548,82.550354,28.091776,24.207323
1966,8,125.26299,26.38716,81.21052,28.40423,24.370089
1966,9,208.32854,26.157438,81.98358,28.129005,24.18587
1966,10,302.88425,25.620453,83.725174,27.52436,23.716541
1966,11,301.50946,25.589516,84.03327,27.389174,23.78986
1966,12,283.18933,25.175446,83.7447,26.858517,23.492373
1967,1,145.8043,24.383362,82.260376,26.029978,22.736744
1967,2,97.94659,24.983644,82.08891,26.759304,23.207985
1967,3,205.66408,25.80301,83.78235,27.575031,24.03099
1967,4,161.06146,26.34892,81.88694,28.234852,24.462988
1967,5,201.22423,26.811481,82.25233,28.79566,24.827303
1967,6,162.63512,26.828081,81.14649,28.83534,24.82082
1967,7,154.5804,26.411367,80.49633,28.44831,24.374424
1967,8,179.61899,26.142487,81.83383,28.132069,24.152903
1967,9,190.34125,25.970547,81.317894,28.021214,23.919878
1967,10,270.37488,25.634584,83.29815,27.529654,23.739517
1967,11,244.36475,25.484299,84.08851,27.256643,23.71195
1967,12,303.42502,25.459415,84.924034,27.114227,23.804604
1968,1,163.12737,25.296152,82.21167,26.962128,23.630175
1968,2,141.41075,25.504469,82.48816,27.21725,23.791689
1968,3,161.25278,26.007885,82.39267,27.851274,24.164495
1968,4,164.76718,26.68407,81.88304,28.563599,24.80454
1968,5,187.8172,27.069508,81.83998,29.034685,25.104336
1968,6,205.00018,26.806902,82.50652,28.700039,24.913763
1968,7,219.63109,26.485935,82.56368,28.366219,24.605654
1968,8,154.62535,26.543129,81.19371,28.567427,24.518831
1968,9,243.77983,26.123922,83.044815,28.019976,24.227875
1968,10,244.41336,26.40972,82.45573,28.354946,24.464493
1968,11,249.95125,26.126654,82.53432,27.998543,24.254763
1968,12,338.40024,26.053335,83.67933,27.777794,24.328876
1969,1,246.16725,26.025023,83.41618,27.689398,24.36065
1969,2,150.61642,26.302986,82.26874,28.039333,24.56664
1969,3,181.95992,26.811789,82.32605,28.64267,24.980911
1969,4,204.26872,27.03403,81.987236,28.947056,25.121012
1969,5,213.29202,27.158295,81.71512,29.08522,25.231367
1969,6,156.04776,27.263298,80.64219,29.247766,25.27883
1969,7,220.47491,26.838955,81.77784,28.817518,24.860395
1969,8,161.35335,26.94832,79.91043,28.986105,24.910536
1969,9,194.4513,26.702862,80.72018,28.73653,24.669188
1969,10,289.27603,26.048828,82.48195,28.0099,24.087759
1969,11,245.64594,25.520529,83.44856,27.329956,23.711105
1969,12,145.46393,25.17095,82.18799,26.851564,23.490334
1970,1,172.65689,24.96972,84.32646,26.573349,23.366093
1970,2,163.17801,25.31,84.196396,26.948904,23.671097
1970,3,174.40184,26.007513,82.95678,27.820576,24.194448
1970,4,186.98878,26.706892,82.007614,28.603596,24.810188
1970,5,219.25238,26.998417,82.55391,28.947506,25.049328
