Year,Month,Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd
1959,2,1959-02-16,180.45093,98.88342,82.95694,0.21218745,25.721628,23.275314,28.167946,2.1838636363636343,21.519682539682535,27.770454545454538
1959,3,1959-03-16,191.98543,99.57978,82.13033,-0.020173172,26.301834,23.750519,28.85315,2.1207708032707986,22.520487012987,30.816877104377095
1959,4,1959-04-16,167.49857,91.626465,81.39669,-0.13601662,26.72843,23.965734,29.491125,1.8210654160654052,25.010351130351122,29.897643097643087
1959,5,1959-05-16,188.8213,87.73415,81.403564,0.094880156,27.020227,24.24167,29.798782,1.747650312650301,26.692344877344873,30.955555555555556
1959,6,1959-06-16,123.419395,68.19712,80.03196,-0.01697279,26.913193,24.03029,29.796087,3.167095959595949,17.286907166907163,29.93611111111111
1959,7,1959-07-16,162.64548,90.78894,80.51666,-0.15824552,26.662802,23.831648,29.493958,4.74492544492544,24.67787037037037,30.842760942760936
1959,8,1959-08-16,247.57727,121.712456,82.55844,0.03905167,26.332718,23.689936,28.975496,0.6242352092352083,26.448878066378054,30.826220538720534
1959,9,1959-09-16,221.92778,100.19372,81.81284,0.19085912,26.327032,23.578226,29.075836,0.9423857623857524,28.076069023569016,29.886651034151033
1959,10,1959-10-16,337.14175,118.94482,83.91429,0.28070903,25.812643,23.252817,28.372469,0.03888888888888889,31.0,30.760753968253955
1959,11,1959-11-16,259.29333,87.27921,83.342804,0.1959294,25.982498,23.408804,28.556198,0.21964285714284723,29.66607142857142,29.83644660894661
1959,12,1959-12-16,247.46442,80.512505,83.11446,-0.22404283,25.395288,22.97634,27.814238,1.1068518518518518,28.404444444444444,30.420090187590183
1960,1,1960-01-16,166.24304,66.73838,81.95874,-0.7407209,25.29894,22.83062,27.767256,5.529169071669063,12.333234728234723,30.518409090909085
1960,2,1960-02-16,168.0029,88.749596,82.06885,-0.76492614,25.675377,23.172194,28.178558,3.730438912938912,20.603019480519468,28.733662818662815
1960,3,1960-03-16,214.00713,121.47054,81.297844,-0.64188355,25.975044,23.378046,28.572042,5.752087542087534,21.25902958152957,30.74897065897065
1960,4,1960-04-16,184.0861,95.56811,81.44657,-0.5392908,26.473925,23.750212,29.19764,3.0849494949494907,23.764644059644052,29.895833333333332
1960,5,1960-05-16,189.01111,90.86465,82.49238,-0.5174269,26.548662,23.827719,29.269608,0.5504377104377084,27.396345598845592,30.941031746031733
1960,6,1960-06-16,175.1648,98.8886,81.967094,-0.35734662,26.580786,23.847794,29.313776,1.7624050024049884,28.791434583934574,29.88888888888889
1960,7,1960-07-16,172.96452,96.84268,81.259865,-0.37586692,26.395523,23.635225,29.155815,4.332497594997581,18.403704906204897,30.84086339586339
1960,8,1960-08-16,186.86006,93.042786,81.80909,-0.6130976,26.448603,23.684725,29.212484,0.9573232323232292,27.05476911976911,30.91448412698412
1960,9,1960-09-16,256.683,113.2205,82.60732,-0.4406483,26.327606,23.650856,29.004356,0.32293169793168985,29.69351611351611,29.85571669071669
1960,10,1960-10-16,230.7138,80.27736,81.95611,-0.826591,26.528862,23.788893,29.268831,3.092886002885995,29.48625180375179,30.908543771043764
1960,11,1960-11-16,302.37637,98.77664,83.51636,-0.66694814,26.300638,23.724188,28.877092,0.4092111592111574,29.702222222222222,29.910634920634916
